node,community
ALIEN,4
CG15923,4
MRE11,17
CG13838,6
CG12589,6
CG10289,6
PTP61F,19
EBI-88852,0
ART8,19
CG31626,19
PSR,11
GNF1,24
IDH,17
CG2017,6
CG3508,6
CG11672,21
SSH,0
EBI-168948,6
SET,2
CG4554,17
CG9040,15
DEI,6
BYN,5
TEKTIN-A,6
CG16719,6
EBI-196039,0
EIF2B-EPSILON,0
CG6733,28
CDC2RK,2
CG12313,25
EBI-178922,25
CG34376,19
CG31646,2
CG5468,0
SAV,6
ADK3,3
CG9977,22
RPLP1,19
EBI-88763,6
CG15031,6
CG4858,2
CG14104,7
GSC,6
CG9568,10
CG14111,19
CG4367,4
EBI-148445,4
TAF4,12
EBI-109052,19
CG7447,19
CG9425,19
MI-2,23
CG14374,19
EBI-128334,19
CG17018,0
EBI-128341,3
LAP1,27
CG13623,27
CG14708,7
RPS10B,19
TFIIA-L,6
TAF13,12
SLAM,5
ROLS,10
EBI-93840,7
EBI-121129,4
EBI-184637,4
FNE,0
CG8152,2
EBI-115136,0
SRM160,5
CG14071,6
CG1249,15
CG15545,10
RPL23,6
CG32767,6
AP-1SIGMA,11
CG9330,0
CDC37,2
CG17508,2
PCS,6
ART2,23
ART6,23
MUS309,17
CG5924,11
RPL13A,8
CG4229,8
CG5808,5
EBI-252103,6
CG12692,0
FAA,5
CG13139,23
CG6910,23
NUP98,4
EBI-116955,15
CG15440,15
EBI-121822,6
CG8206,5
DYN-P25,28
SPLY,7
EBI-83408,6
CG13083,6
PP1-87B,15
CG6996,19
CG12361,19
DOK,2
CG9684,22
CSN3,2
CG6745,0
HP1B,0
EBI-103524,6
CG3056,19
EBI-121063,19
CCP84AD,0
RL,17
ALPHATUB84B,19
CSN1A,21
SPI,22
SOCS36E,6
PP4-19C,2
CG11586,4
SIRT6,9
LPR1,6
CG12432,2
ACTR13E,7
DRONGO,19
CG10026,9
CG30194,9
EBI-196973,19
CG4060,1
CG18616,4
LQF,19
SOXN,11
CG14995,0
CG3078,17
CG12708,6
CG4073,9
CG12404,9
CG3632,0
POF,2
CG14853,6
CG9346,5
PI3K92E,3
QKR58E-1,6
CG3342,6
CG11293,19
EBI-168287,12
KARYBETA3,0
MASK,19
INAD,24
CG11120,2
CG31090,6
CG13966,6
KR-H2,24
CG12034,23
CG9836,19
MAPK-AK2,17
CG2972,3
H2.0,19
POLY,21
CG13949,28
CG13907,10
