node,community
HP1B,1
EBI-103524,8
CG3056,6
EBI-121063,6
CCP84AD,1
RL,9
ALPHATUB84B,6
CSN1A,13
SPI,18
SOCS36E,6
PP4-19C,3
CG11586,11
SIRT6,11
LPR1,8
CG12432,6
ACTR13E,9
DRONGO,6
CG10026,11
CG30194,11
EBI-196973,6
CG4060,23
CG18616,9
LQF,9
SOXN,13
CG14995,1
CG3078,1
CG12708,8
CG4073,11
CG12404,11
CG3632,1
POF,3
CG14853,8
CG9346,7
PI3K92E,2
QKR58E-1,8
CG3342,8
CG11293,6
EBI-168287,16
KARYBETA3,1
MASK,6
INAD,19
CG11120,3
CG31090,8
CG13966,8
KR-H2,19
CG12034,19
CG9836,6
MAPK-AK2,9
CG2972,8
H2.0,6
POLY,0
CG13949,8
CG13907,8
CG14641,6
MKG-P,1
CG10663,7
PAX,1
CKIIALPHA-I3,8
MED27,12
CG5001,5
DMT,6
CG12519,6
CG14282,6
RDGA,7
CP38,1
EXP6,8
VM32E,19
EBI-96930,0
CG6770,9
SEMA-2A,16
EBI-188413,1
RNRS,12
CG14110,15
L(1)G0020,28
OBP99D,8
GT,8
CG18619,8
COMR,3
CG3281,8
CG13558,3
RHOGAP68F,3
EBI-97544,3
CG17181,23
E(SPL),18
HLHM7,18
AKAP200,6
CG31958,8
EBI-138516,17
EBI-150616,6
N,18
APC2,18
CG14815,18
EBI-131770,13
EBI-84026,3
CG6353,8
DNAJ-1,1
CG4116,4
GRO,18
CG6073,1
PKA-R2,8
BR,6
CG31740,6
RANGAP,2
OVO,2
UNC-13-4A,3
ABL,3
312,6
EBI-184213,1
CACTIN,8
RAD23,8
CG4165,18
MRPS30,8
CG13476,8
RAC2,1
MBO,8
RHO,18
SPF45,9
PIX,13
TUP,3
MLC2,9
HBN,6
EBI-84827,1
EBI-153383,7
EBI-213425,14
CG8191,12
CG17364,12
CG7949,7
AATS-ASN,1
FUCTC,19
HLHMGAMMA,18
EBI-177649,1
CG13066,1
